NORAD_CAT_ID,TLE_LINE1,TLE_LINE2
602,1   602U 63014E   25108.76960978  .00000000  00000-0 -11838-2 0  9994,2   602  87.3412 229.9071 0033338 105.8522 254.6012  8.67235491961335
602,1 00602U 63014E   25108.76960978  .00000000  00000-0 -11838-2 0  9994,2 00602  87.3412 229.9071 0033338 105.8522 254.6012  8.67235491961043
631,1   631U 63030E   25108.76044693  .00000003  00000-0  00000+0 0  9999,2   631  88.4018 240.5952 0171063 145.3140 215.9001  8.55879039929613
634,1   634U 63031A   25108.67705082 -.00000152  00000-0  00000+0 0  9995,2   634  30.8922 306.4288 0007715 192.8442  34.8831  1.00288891226105
634,1 00634U 63031A   25108.67705082 -.00000152  00000-0  00000-0 0  9996,2 00634  30.8922 306.4288 0007715 192.8442  34.8831  1.00288891226105
644,1   644U 61015GV  25108.64701069  .00001196  00000-0  15742-2 0  9994,2   644  67.0983 190.0441 0137146  56.9222  93.4548 13.60671010140414
645,1   645U 61015GW  25108.15882606  .00001090  00000-0  23912-2 0  9999,2   645  66.5886  48.5814 0410833  10.3084  90.4255 13.04637460 24826
649,1 00649U 61015HA  25108.53733093  .00000182  00000-0  69047-3 0  9991,2 00649  66.2672 305.4539 0566332 246.7617 137.4704 12.65148746938917
653,1   653U 61015HE  25108.01606322  .00001695  00000-0  18347-2 0  9999,2   653  67.4515  64.9687 0164844 316.1214 112.6728 13.69621557160031
656,1 00656U 61015HH  25108.81443319  .00000935  00000-0  19436-2 0  9991,2 00656  66.2937 350.8417 0671469 329.2791  27.0470 12.72064446913005
656,1   656U 61015HH  25108.81443319  .00000935  00000-0  19436-2 0  9991,2   656  66.2937 350.8417 0671469 329.2791  27.0470 12.72064446913993
659,1   659U 61015HL  25108.71987976  .00000644  00000-0  18744-2 0  9993,2   659  67.1622 206.0246 0584748 193.1647 333.7296 12.66532909937266
669,1   669U 63038A   25108.51787985  .00000045  00000-0  60404-4 0  9994,2   669  89.9897 334.9633 0024372 254.7498 168.3107 13.46101849 23032
671,1   671U 63038C   25108.11755466  .00000122  00000-0  18972-3 0  9990,2   671  89.9805 334.1929 0041664 126.7763 233.7221 13.45150536 18472
672,1   672U 63038D   25108.16033892  .00001862  00000-0  21657-2 0  9993,2   672  89.9992 336.3446 0024206 264.5646 219.1205 13.68309226 44355
700,1   700U 63047F   25108.99110958  .00000597  00000-0  20900-3 0  9990,2   700  30.4817 336.2235 0718193  12.5896 349.1654 13.39887387993758
702,1   702U 63014H   25108.73156317 -.00000045  00000-0 -22124-1 0  9995,2   702  87.3359 229.9938 0147650 111.1044 250.5665  8.65665605957572
704,1   704U 63049B   25108.96713597  .00000107  00000-0  15945-3 0  9991,2   704  89.9155  73.9059 0036883  79.6254 346.3832 13.47070495 14750
706,1   706U 63049D   25108.49344648  .00000393  00000-0  54414-3 0  9999,2   706  89.9118  76.7821 0025379 218.1914 269.3996 13.56368531 26186
716,1   716U 63054A   25108.57581849  .00000847  00000-0  16162-3 0  9993,2   716  58.4935 168.5863 0028429  76.2661 284.1540 14.72465693274240
720,1   720U 63054C   25108.53701292  .00001197  00000-0  32912-3 0  9990,2   720  58.4719 207.8864 0102016 242.9913 116.0672 14.49966551219869
724,1   724U 63053E   25108.95395589  .00345587  00000-0  95605-2 0  9998,2   724  78.5364 304.3851 0067822 147.6827 212.8585 15.33388230976821
727,1   727U 64001A   25108.22459685  .00000050  00000-0  75962-4 0  9992,2   727  69.9035 122.6513 0016070 239.3996 120.5524 13.95718625118326
730,1   730U 64001D   25108.42128089  .00000059  00000-0  82086-4 0  9993,2   730  69.9036 109.0690 0015843 226.3974 245.0046 13.95975269  1956
731,1   731U 64001E   25108.39998923  .00000098  00000-0  11014-3 0  9997,2   731  69.9036  99.6849 0015750 222.4458 137.5430 13.96223002118760
732,1   732U 63053H   25108.87529918  .00020851  00000-0  64408-2 0  9994,2   732  78.5598  38.0270 0439994  58.7838 305.5659 13.97509217934769
733,1   733U 64002A   25108.00150879  .00000449  00000-0  17789-3 0  9993,2   733  99.1126  98.7961 0033872 125.4421 234.9932 14.33777161192065
734,1   734U 64002B   25108.34335949  .00000242  00000-0  11289-3 0  9994,2   734  98.9734  20.8468 0014212 344.5772  15.4974 14.29533471188158
735,1   735U 64002C   25108.31441638  .00000213  00000-0  10376-3 0  9999,2   735  98.9872  15.7586 0017577  97.2187 263.0992 14.28428406186121
742,1   742U 64004C   25108.33531121  .00000144  00000-0  27468-3 0  9991,2   742  81.4689  44.2174 0172976  90.7692 271.3256 13.26222030961045
750,1   750U 64006C   25108.81224432  .00021010  00000-0  23497-2 0  9991,2   750  60.7612 291.8907 1440859 221.0291 127.3108 12.35453683793898
750,1 00750U 64006C   25108.81224432  .00021010  00000-0  23497-2 0  9991,2 00750  60.7612 291.8907 1440859 221.0291 127.3108 12.35453683793911
801,1   801U 64026A   25108.14216229  .00000704  00000-0  34526-3 0  9994,2   801  90.4576 166.0976 0045742 319.7038  40.0763 14.16611896126372
805,1 00805U 64026B   25108.64361192  .00002626  00000-0  92660-3 0  9991,2 00805  89.8677 335.7310 0030204 157.2267 203.0279 14.34295961129145
813,1   813U 64031B   25108.23561005  .00000178  00000-0  10151-3 0  9991,2   813  99.7790 207.9450 0004490 288.6359  71.4328 14.23579050154944
829,1   829U 64038A   25108.22451717  .00001446  00000-0  39176-3 0  9999,2   829  60.8210  68.9913 2947737 235.1411  93.6239  9.20110571976291
831,1   831U 64038C   25108.52652990  .00035392  00000-0  32567-2 0  9994,2   831  60.6703 194.1021 1318214 165.4794 198.8237 12.65176073311821
862,1   862U 64047B   25108.57257874 -.00000101  00000-0  00000+0 0  9990,2   862  16.1527  91.7770 7134239 162.5338 248.3617  2.05103522249734
871,1   871U 64051B   25108.70005481  .00000407  00000-0  26092-3 0  9996,2   871  79.8952 176.7684 0086630 197.1019 162.7220 14.00434549 85904
876,1   876U 64053A   25108.13177016  .00000444  00000-0  96754-4 0  9998,2   876  65.0588 141.3298 0119424  66.1343 295.2220 14.65331237226903
899,1   899U 64064A   25108.86393795  .00000412  00000-0  35258-3 0  9995,2   899  79.6909 231.2783 0120159 216.5667 142.7238 13.82874158 46728
900,1   900U 64063C   25108.86910110  .00001124  00000-0  11464-2 0  9996,2   900  90.2144  62.0428 0026732 131.4200 256.1891 13.75985491 13046
903,1   903U 64063F   25108.87207931  .00001451  00000-0  13882-2 0  9999,2   903  90.2165  61.2005 0021903 325.7067  88.9913 13.79959662 16312
932,1   932U 64076B   25108.75303076  .00000951  00000-0  33045-3 0  9997,2   932  81.3429 344.9972 1120934 150.6035 216.3202 12.66655249765001
953,1   953U 64083A   25108.85037317  .00000071  00000-0  83908-4 0  9998,2   953  90.0270 191.7496 0030047 237.7537 250.8461 13.58798852991452
977,1 00977U 64064D   25108.80265067  .00000744  00000-0  68038-3 0  9996,2 00977  80.0447 236.8399 0128028 175.4465 184.7883 13.78819370 30943
977,1   977U 64064D   25108.36726325  .00000758  00000-0  69389-3 0  9991,2   977  80.0448 237.2971 0127996 176.5552 183.6511 13.78818771 31498
1099,1  1099U 64083G   25108.68881442  .00000255  00000-0  31194-3 0  9990,2  1099  89.8318 145.7782 0042034  97.2475  27.4602 13.62667033925069
1244,1  1244U 65016B   25108.84913671  .00000107  00000-0  11631-3 0  9997,2  1244  70.0817  10.1904 0023367 284.7028  75.1489 13.96063983 59290
1245,1 01245U 65016J   25108.95961967  .00000178  00000-0  16307-3 0  9994,2 01245  70.0770 290.9642 0023688 249.9898 109.8658 13.97553758 61022
1312,1  1312U 65004C   25108.50901792  .00000142  00000-0  16181-3 0  9998,2  1312  96.3387 302.2355 1116449 342.9735  13.6539 12.28111679692107
1312,1 01312U 65004C   25108.50901792  .00000142  00000-0  16181-3 0  9998,2 01312  96.3387 302.2355 1116449 342.9735  13.6539 12.28111679674455
1313,1 01313U 65004D   25108.92316479  .00000424  00000-0  64160-3 0  9990,2 01313  96.4220 256.4855 1175229 145.5362 222.7936 12.00782784635522
1313,1  1313U 65004D   25108.83983704  .00000428  00000-0  64708-3 0  9993,2  1313  96.4217 256.4431 1175219 145.7093 222.5857 12.00782710635877
1328,1  1328U 65032A   25108.07997047  .00000049  00000-0  19843-3 0  9990,2  1328  41.1863  36.1883 0246095 255.3082 102.0276 13.38882454931781
1358,1  1358U 65032B   25108.10533844 -.00000038  00000-0  67474-4 0  9991,2  1358  41.1897  84.4310 0245026 176.4162 183.8411 13.38213624931197
1359,1  1359U 65034A   25108.78351098 -.00000003  00000-0 -24351-2 0  9995,2  1359  32.1312  19.8529 0495484 173.9710 186.6996  9.17133803 10010
1389,1  1389U 65027D   25108.34530292  .00000965  00000-0  25893-2 0  9994,2  1389  89.8435 225.4490 0028078 213.7244 201.5568 13.14098811855263
1392,1  1392U 65020AH  25108.64630127  .00041354  00000-0  27991-2 0  9990,2  1392  55.8657 196.8477 0200825 227.8189 130.5625 14.91207739 31862
1420,1  1420U 65048A   25108.07433119  .00000188  00000-0  26857-3 0  9992,2  1420  89.8809 291.3625 0072085 222.1425 255.3822 13.51801407946443
1430,1  1430U 65051A   25108.93607093  .00000382  00000-0  12970-3 0  9993,2  1430  98.4603 226.2453 0054286 273.1891  86.3088 14.41376398135222
1433,1  1433U 65051B   25108.86168700  .00002445  00000-0  49779-3 0  9994,2  1433  98.5172 248.8185 0040347 148.0274 212.3386 14.61495857153650
1435,1  1435U 65048D   25108.00770712  .00001176  00000-0  12531-2 0  9995,2  1435  89.8862 295.2190 0060220 151.5650 335.7818 13.72682779969109
1477,1  1477U 65020BB  25108.09170830  .00001356  00000-0  22502-2 0  9994,2  1477  55.4888  91.8547 0580994 358.7286   1.2137 12.98888179823331
1478,1  1478U 65020BC  25108.83917387  .00001969  00000-0  99355-3 0  9994,2  1478  56.0809 297.9075 0594668 261.0047  92.3187 13.53749045886370
1480,1  1480U 65020BE  25108.15551344  .00000340  00000-0  59284-3 0  9998,2  1480  56.0704  90.6589 0837244 207.6947 147.6902 12.64264861756802
1506,1  1506U 65063A   25108.24018549 -.00000032  00000-0 -13351-4 0  9995,2  1506  69.2326 170.7357 0784194 140.8287 287.8223 11.78676889568557
1510,1  1510U 65065C   25108.22406503  .00005495  00000-0  32218-2 0  9998,2  1510  90.0564  22.1409 0040711  94.8107 265.7727 14.07667989973779
1570,1  1570U 65070A   25108.51218302 -.00000079  00000-0  10767-3 0  9990,2  1570  56.0546 182.8426 0103164 106.0316 353.4839 12.52792829728575
1574,1  1574U 65070E   25108.29373826 -.00000104  00000-0 -94104-4 0  9990,2  1574  56.0506 105.7721 0064841  37.8347  56.5099 12.37031404694298
1575,1  1575U 65070F   25108.52119642 -.00000070  00000-0  15810-3 0  9998,2  1575  56.1237 190.8353 0097595 225.6966 227.3196 12.57010395737734
1576,1  1576U 58002C   25108.64003350  .00004626  00000-0  40337-2 0  9998,2  1576  34.2335 221.0763 1398361 272.3184  71.8495 11.81429707768410
1583,1  1583U 65072D   25108.58987933  .00003179  00000-0  53884-3 0  9996,2  1583  98.4466 328.7964 0145123 118.4541 243.1369 14.63260034125527
1584,1  1584U 65073A   25108.57213230 -.00000081  00000-0  95974-4 0  9996,2  1584  56.0576 211.0114 0215426  68.8871  24.6253 12.51910241724716
1588,1  1588U 65073E   25108.48425332 -.00000079  00000-0  93318-4 0  9995,2  1588  56.0575 306.0047 0154143 241.8558 150.4749 12.34587632687207
1589,1  1589U 65073F   25108.19915597 -.00000034  00000-0  44223-3 0  9992,2  1589  56.0493 104.5386 0159411 182.7773 277.3846 12.33048981683671
1590,1  1590U 65073G   25108.56488558  .00000234  00000-0  20482-2 0  9998,2  1590  56.0834 160.6964 0180149 189.1491 322.3561 12.49606146705633
1608,1  1608U 64083H   25108.91227719  .00001590  00000-0  13878-2 0  9994,2  1608  89.7559  77.2602 0017297 341.7919  33.8852 13.85336097 16689
1616,1  1616U 65078B   25108.87409772  .00006750  00000-0  58162-3 0  9993,2  1616 144.2261  84.2095 0995462 246.8793 102.3946 13.31307975693987
1617,1  1617U 65073J   25108.22192112  .00000215  00000-0  22509-2 0  9990,2  1617  56.1265  98.8066 0231623 115.4372 350.8390 12.34626619678277
1634,1  1634U 65020ED  25108.49402056  .00000149  00000-0  42898-3 0  9991,2  1634  56.1566 140.2600 0852225 228.5196 123.9474 12.48392242709895
1641,1  1641U 65082C   25108.44625183  .00000502  00000-0  10833-3 0  9997,2  1641  32.2952 179.8059 0018488  36.5551 323.6353 14.54526110155533
1642,1  1642U 65082D   25108.46658738  .00001944  00000-0  22556-3 0  9998,2  1642  32.0933 266.3468 0023679 322.7186  37.1821 14.83427269195661
1653,1 01653U 65082Q   25108.47531711  .00000705  00000-0  12341-3 0  9997,2 01653  32.1177 164.2616 0041009 170.9406 189.1986 14.63939415149219
1684,1  1684U 65082AX  25108.18325843  .00004074  00000-0  10938-2 0  9998,2  1684  32.2139  79.6366 0170501 336.2234  23.0603 14.38733379 81220
1716,1  1716U 65082BX  25108.49934263  .00001388  00000-0  29374-3 0  9990,2  1716  32.1899 278.0120 0038156 124.1741 236.2529 14.56923149147007
1722,1  1722U 65082CD  25108.87473999  .00001282  00000-0  23687-3 0  9997,2  1722  32.4190 301.5543 0027863 304.9322  54.8713 14.63297312158025
1726,1  1726U 65089A   25108.53768922 -.00000061  00000-0  73926-4 0  9991,2  1726  59.3829 263.6771 0712606 303.6285 115.9088 11.97072121599191
1729,1  1729U 65089B   25108.48173780 -.00000010  00000-0  38812-3 0  9998,2  1729  59.3949 248.4544 0708814 273.2696 151.7726 11.97560271599971
1738,1  1738U 65093A   25108.78064343  .00000228  00000-0  10662-3 0  9993,2  1738  59.7073 248.4735 0131683  10.5724 349.8034 14.41540430116078
1739,1  1739U 65093B   25108.53638027  .00001393  00000-0  35060-3 0  9996,2  1739  59.7037 250.6127 0074258 217.8016 141.7800 14.54516066129301
1778,1  1778U 65096A   25108.14901465  .00000587  00000-0  16289-3 0  9994,2  1778  34.2523 130.7467 0741227  76.6914 291.5257 13.49268236906918
